,figcaption,date,title,time,localtion1,location2
0,© Peter Vanderwarker.,"Thursday, January 9, 2020",Museums Closed,10:00am - 5:00pm,32 Quincy Street,Cambridge
1,"John Singer Sargent, American,","Tuesday, January 14, 2020",Gallery Talk: Sargent Portrait for a Democratized Harvard?,12:30pm - 1:00pm,32 Quincy Street,Cambridge
2,"Raoul Hausmann, German,","Thursday, January 16, 2020",Gallery Talk: An Homage to Darkness,12:30pm - 1:00pm,32 Quincy Street,Cambridge
3,© Peter Vanderwarker.,"Friday, January 17, 2020",Tour: The Architectural History of the Harvard Art Museums,2:30pm - 3:30pm,32 Quincy Street,Cambridge
4,"Ben Shahn, American,","Tuesday, January 21, 2020",Gallery Talk: Ben Shahn’s Street Photography,12:30pm - 1:00pm,32 Quincy Street,Cambridge
5,,"Thursday, January 23, 2020",Gallery Talk: Walk Like an Egyptian,12:30pm - 1:00pm,32 Quincy Street,Cambridge
6,"William Holbrook Beard, American,","Tuesday, January 28, 2020",Gallery Talk: Fantastic Beasts and Where to Find Them,12:30pm - 1:00pm,32 Quincy Street,Cambridge
7,"László Moholy-Nagy, American,","Thursday, January 30, 2020",Gallery Talk: Activation of Moholy-Nagy’s,12:30pm - 1:00pm,32 Quincy Street,Cambridge
8,,"Friday, January 31, 2020",Unpacking the Amazon Myth,2:30pm - 3:30pm,32 Quincy Street,Cambridge
9,,"Saturday, February 1, 2020",Student Guide Tour,11:00am - 11:50am,32 Quincy Street,Cambridge
10,,"Saturday, February 1, 2020",Student Guide Tour,3:00pm - 3:50pm,32 Quincy Street,Cambridge
11,,"Sunday, February 2, 2020",Student Guide Tour,11:00am - 11:50am,32 Quincy Street,Cambridge
12,,"Sunday, February 2, 2020",Student Guide Tour,3:00pm - 3:50pm,32 Quincy Street,Cambridge
13,"Taddeo di Bartolo, Italian,","Friday, February 7, 2020",Reading the Fine Print,2:30pm - 3:30pm,32 Quincy Street,Cambridge
14,,"Saturday, February 8, 2020",Student Guide Tour,11:00am - 11:50am,32 Quincy Street,Cambridge
15,,"Saturday, February 8, 2020",Student Guide Tour,3:00pm - 3:50pm,32 Quincy Street,Cambridge
16,,"Sunday, February 9, 2020",Student Guide Tour,11:00am - 11:50am,32 Quincy Street,Cambridge
17,,"Sunday, February 9, 2020",Student Guide Tour,3:00pm - 3:50pm,32 Quincy Street,Cambridge
